trade_id,setup_id,date,entry_time,exit_time,duration,exit_reason,ce_strike,pe_strike,ce_entry,pe_entry,ce_exit,pe_exit,total_pnl,quantity
1,Morning_Straddle,2025-08-13,930,2130,1200,TARGET,581.0,578.0,0.660,0.440,0.380,0.290,41.00,1
2,Afternoon_Straddle,2025-08-13,2400,4150,1750,TIME_BASED,582.0,576.0,0.080,0.150,0.040,0.020,15.00,1
3,Morning_Straddle,2025-08-14,930,1380,450,STOP_LOSS,583.0,580.0,0.490,0.510,0.070,1.780,-87.00,1
4,Afternoon_Straddle,2025-08-14,2400,4150,1750,TIME_BASED,583.0,577.0,0.050,0.200,0.020,0.050,16.00,1
5,Morning_Straddle,2025-08-15,930,2091,1161,TARGET,579.0,575.0,0.460,0.440,0.150,0.330,40.00,1
6,Afternoon_Straddle,2025-08-15,2400,4150,1750,TIME_BASED,580.0,574.0,0.090,0.150,0.020,0.070,13.00,1
