date,daily_pnl,trades_count,positions_forced_closed
2025-08-13,77.00,3,0
2025-08-14,2.00,3,0
2025-08-15,76.00,3,0
2025-08-18,77.00,3,0
2025-08-19,75.00,3,0
2025-08-20,77.00,3,0
2025-08-21,78.00,3,0
2025-08-22,-103.00,3,0
