setup_id,total_pnl,total_trades,win_rate,avg_win,avg_loss,max_drawdown
Afternoon_Straddle,44.00,3,1.000,14.67,0.00,0.00
Morning_Straddle,-6.00,3,0.667,40.50,-87.00,0.00
